Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
3129;2.298854;-2.186739;-1.078255;0.077626;1.631731;0.290542;-2.249717;1.141943;-1.233453;-0.282785;-0.216836;-0.183388;1.454116;0.195009;0.258507;0.796578;1.345301;0.331558;-0.05831;0.028391;0.017132;0.6316;0.972841;0.704096;-0.154364;0.261533;-0.63465;-0.119134;7.57;0
3149;-1.235259;-2.534186;1.115529;-0.596545;1.807713;-0.000576;-1.645147;1.092934;1.332168;3.290213;-1.491938;-0.073326;-0.701263;0.244686;-0.670985;0.462594;1.457212;0.599615;-0.740929;-1.001814;0.67286;-0.321021;0.197658;1.026791;0.518619;-0.169101;-0.070967;-0.148003;142.07;0
3178;-3.603476;3.076492;0.266782;2.244932;1.504695;-1.284282;1.047479;0.685596;0.702865;1.477941;0.308682;-0.132166;-0.578299;-0.000653;0.111113;0.602524;0.072549;-0.679381;0.92191;0.614803;-0.608902;-0.625057;0.148981;-0.809158;-0.822352;0.673123;0.158849;0.278311;13.12;0
3406;1.179041;-0.546655;1.145625;-3.187397;0.527552;1.954817;0.909329;0.422372;0.676145;0.057333;0.334025;0.497306;-2.321424;0.049462;-0.066011;1.42198;-0.608009;-1.149071;1.298247;0.355635;0.082997;3.095177;0.194567;-0.297231;-0.614435;-0.624106;0.690338;0.405994;1.88;0
3468;-2.412542;1.350152;0.078133;0.499731;1.555993;2.521412;-0.368171;0.333743;1.129404;1.334152;2.054629;0.523076;-1.609693;-0.833825;-1.747309;-0.176085;-0.887834;0.151361;0.345856;0.024455;-0.758354;-0.83019;0.190622;-0.065969;-0.031769;0.069312;-0.025949;-0.411636;60.05;0
3557;1.279168;-3.225047;-3.586322;1.245775;-0.030229;0.747363;0.070313;-0.024943;0.380218;-0.541647;-0.667601;-0.054774;-0.59452;0.354491;-1.582623;1.522127;0.350819;-0.353348;-1.334906;-1.737051;-0.303396;-0.063206;-0.284775;0.501597;-0.554632;0.371838;-0.137007;-0.254212;321.11;0
3675;2.533061;4.293212;1.801669;1.066185;0.907519;0.815475;0.236631;0.624719;0.551482;0.366768;-1.619417;0.353303;-0.323276;-1.753746;0.997165;-0.125847;-1.076499;0.702311;0.535453;0.39778;1.905922;-1.656363;-0.590056;0.817482;0.195332;-0.052764;-0.263592;0.056304;105.6;0
3823;1.158012;1.275313;3.14574;1.187928;-0.232462;0.194295;0.560807;0.295389;1.528169;-0.303018;-1.182757;0.828477;0.660606;1.735924;0.660316;1.001453;-1.056589;-0.827579;1.330168;0.301217;0.969314;0.903096;1.522258;-1.055641;0.149518;0.306496;-0.253703;0.196291;13.4;0
3883;2.019252;-0.711912;1.958902;1.392185;-1.408364;1.30904;0.428113;-0.529555;-0.197967;-1.230837;1.643048;-0.780799;-1.46578;1.654518;-1.360922;-0.115321;-0.436455;-1.012865;-0.915981;-0.062689;0.476305;-0.203361;-0.100646;-0.408438;-0.024663;0.319729;0.714284;0.445027;3.06;0
4021;3.869096;-0.799667;-5.323675;-0.787651;1.243109;-3.229383;-1.667602;0.775561;0.615627;0.670568;-0.436745;0.933888;0.404084;-0.306063;-0.125449;1.803709;0.41618;-0.532;0.675136;0.753244;0.259543;0.588182;0.003408;0.698758;1.230947;0.274429;-0.425888;0.038062;27.07;0
4202;1.815183;1.000855;0.701143;-1.494107;1.809672;0.014863;-3.039424;0.383795;-1.208452;0.083567;1.411102;-0.595252;0.569219;1.019682;-0.661291;0.580167;1.243109;0.436618;-0.162287;0.879295;-1.153014;-0.679155;0.018066;-0.519728;0.191368;-0.092354;-0.165749;0.381012;26.08;0
4216;0.574618;0.901524;-0.684786;-2.819248;3.464063;-0.741594;-1.270942;1.489648;0.037205;0.164429;0.026382;1.43469;0.619868;-0.271634;0.980842;-0.074631;0.195689;-0.295365;0.997515;0.268478;-0.146405;-1.163285;-0.479338;0.486909;0.299537;-0.197429;0.569392;-0.595205;7.74;0
4249;3.116199;0.045776;-1.617208;-0.444896;0.41436;0.213938;-0.20137;-2.104396;2.435212;0.060423;-0.97418;0.174581;0.964233;0.019418;0.397288;-1.045633;0.407096;-0.074422;-0.947795;-1.154303;0.663276;-0.537111;0.100644;0.349872;0.252486;-0.056538;0.461069;-0.396351;75.68;0
4381;3.351812;-0.25118;0.205326;-1.034097;-1.395978;1.473195;1.180628;0.093102;0.846308;-0.88893;2.061344;0.073461;-1.145443;-0.643698;-1.015191;0.191468;0.825079;-0.41598;-0.36127;-0.964303;-0.332834;0.968745;-0.802961;0.474138;-0.468515;-0.67213;0.926433;-0.002538;528.45;0
4387;3.379105;0.700646;-0.20491;1.719485;-0.403248;0.045315;0.280606;-0.812634;-0.144594;1.821288;1.364132;-1.761804;0.489582;0.796981;0.099419;-0.710964;0.744896;0.85302;-1.280017;-0.527238;0.253211;0.415577;0.433866;0.481925;1.014129;0.674326;0.429151;0.344647;46.22;0
4392;-1.02968;-3.283147;0.788073;-0.338333;-0.13753;-0.459455;0.652627;-0.565971;0.240995;0.361125;-0.163107;0.66131;1.664554;-0.548037;-0.047411;0.39808;-0.494669;0.405764;0.265025;-0.181411;-0.742481;-1.163844;-0.168831;-0.260245;-0.730021;0.265164;0.097994;-0.106306;42.13;0
4556;-2.710336;-0.912305;0.105436;-1.393176;0.254927;-1.84635;-1.122133;0.7161;-0.073098;-0.200993;1.036734;0.104107;1.314259;0.763749;-0.044918;0.589892;0.729216;-1.278986;0.438013;0.657985;-0.804093;-1.742088;0.689511;-0.162153;0.148244;0.082607;0.247905;-0.096067;8.12;0
4581;-1.148725;-3.119074;-1.672426;-1.61772;0.699809;-0.125338;-0.097704;-1.658912;0.204871;-1.337039;0.145524;0.182406;1.786277;-0.030362;-0.474209;0.925518;0.867345;0.756991;0.268614;0.263674;1.655297;-0.231278;0.310766;-0.210706;0.387057;-0.331931;-0.40466;0.125844;269.38;0
4585;1.302101;0.775945;-0.850669;2.894124;0.550898;0.914129;0.071201;0.208431;-0.488908;1.619685;0.466339;-0.082148;0.201363;-0.006556;0.012591;0.483182;0.24722;0.495938;-0.427734;-0.117632;1.54426;0.786508;0.234133;0.137407;0.511495;0.063153;-0.040128;-0.075086;29.59;0
4682;0.24036;-1.439158;-1.094317;0.038637;1.122374;-1.098647;-0.947039;0.086223;0.494358;1.089877;1.817568;0.628944;-0.598179;-1.421669;-0.784201;0.080451;0.09737;0.911213;-0.365925;0.494314;-0.072442;-0.546132;-0.502131;-1.300009;-0.161835;0.053288;-0.386157;0.463177;13.9;0
4974;-0.472638;-2.98883;-2.57189;-1.039736;0.322444;-2.644442;-1.336254;-1.19944;0.533341;0.091645;-1.530027;0.827217;-2.459189;0.067458;-1.090905;1.175621;0.495522;-0.444124;-0.275034;-0.587053;-0.578037;0.774943;0.03352;0.294287;0.386608;-0.213414;0.571989;0.032704;36.44;0
5054;1.022939;-1.643251;-2.051183;0.246139;-3.020908;3.044739;-0.29108;0.238107;-0.042698;-1.309701;-0.345812;0.489183;-1.223028;-1.090007;-1.144358;1.277612;0.405705;-0.788765;0.707105;0.492732;-0.697812;0.091419;0.458471;1.050718;-0.545117;0.514545;-0.587452;0.811426;67.22;0
5179;-2.93807;-0.011614;-0.298714;2.763583;0.363445;0.465783;0.809933;-0.856248;0.104065;1.898235;0.049795;1.313897;-0.534385;0.069131;-0.964685;-0.916382;-1.622183;-0.06945;-1.186637;0.185359;0.283184;1.261993;0.062266;0.120377;0.868625;-0.553936;-0.098327;0.050076;40.81;0
5251;0.20528;-0.625045;2.169869;-0.483347;0.169688;-0.274693;-1.13214;2.665006;0.324844;-0.307622;0.361183;-0.702105;-0.361311;1.872178;0.374278;1.560628;0.348806;0.136958;-0.285853;0.412872;1.40233;-0.488673;-0.851704;-0.074627;-0.084734;-0.446172;-0.419943;-0.125024;202.19;0
5270;2.110992;-2.299561;-0.788691;1.045555;0.809368;1.870023;-0.268159;1.48034;-0.629967;-0.641947;-1.25366;-0.576921;-0.790083;-1.323971;0.399019;1.091561;0.994029;0.995694;-1.202584;0.661611;-0.520131;-0.043232;0.600977;0.044869;-0.25829;0.54466;0.403459;0.029372;58.91;0
5297;1.001166;-3.219423;-1.12372;1.754775;-0.448845;0.208168;1.670187;0.130039;0.483797;0.036456;0.955268;0.412637;0.295988;-0.131029;1.319078;-0.74074;0.83026;0.534681;-0.341479;-0.026635;0.135382;-0.471739;0.458649;0.323719;-0.33166;0.73702;0.067984;0.361122;21.63;0
5380;1.279029;-0.142096;-1.763743;-2.615822;0.358465;1.791602;-0.653983;-0.463781;0.808173;0.498898;-1.157046;0.665161;0.157018;-0.600078;-0.217907;-1.643638;0.304349;0.125233;-0.021521;-1.523123;0.098574;0.709453;-0.940412;0.697449;0.154661;0.136709;-0.011903;-0.054291;60.45;0
5388;3.044877;-1.274729;0.06611;-0.836546;0.817614;1.67766;-0.000969;0.64982;1.561353;-0.09381;-1.2548;0.521529;0.009315;-0.988706;0.628282;1.069936;0.107325;-0.107121;1.691373;-0.497515;1.205942;0.425389;0.068026;-0.041399;-0.821639;-0.483738;-0.472578;-0.927587;70.07;0
5431;-0.198979;-0.71648;1.800682;1.576743;-0.170858;-1.675113;-0.141078;0.963296;0.30021;-3.602086;-0.235801;-1.264654;0.723882;-0.749592;0.032827;0.191496;-0.361313;0.012816;-0.550847;0.611869;0.194886;-1.222874;0.495476;-0.101797;0.460074;0.647917;0.57044;-0.156376;4.74;0
5458;-1.343529;-0.546255;3.044051;-0.923011;0.982701;0.631793;-0.242862;0.352894;-0.661199;0.362092;1.953412;-1.180487;-0.48085;1.42199;0.262634;-0.390703;-0.118478;-0.331227;0.821927;-0.424943;-1.029152;0.498366;-0.381734;-0.838096;-0.310495;0.103648;-0.371587;-0.764798;185.7;0
5621;2.249554;0.474014;0.450953;0.658768;0.146772;2.31463;2.058913;-1.158026;-0.163231;1.095614;2.612474;-0.172939;1.02215;1.677027;0.725614;0.286255;0.605523;0.570307;-1.395378;-0.501622;0.539377;-1.072085;-0.831519;0.028626;0.678312;0.060343;-0.162004;0.170272;21.09;0
5737;2.213685;1.195217;0.231391;-1.007044;0.266189;-1.308205;0.369134;-0.199409;-1.30726;-0.881245;0.518293;-1.761379;-1.185634;-0.994491;0.519663;1.053925;0.310723;-1.219837;0.022233;0.057928;0.114828;-0.656085;-0.676336;-0.733152;-0.646071;0.75694;-0.001708;-0.369956;21.91;0
5794;1.018669;-0.016539;-0.800644;-0.562684;-3.983338;-1.291878;-1.957026;0.142836;0.750088;1.791003;-0.222962;0.268288;-0.321437;0.394873;0.08868;-1.777788;0.757217;0.007303;0.020477;0.851906;-0.643015;0.536898;-0.077509;-0.33387;0.068664;0.40905;0.214863;0.015624;102.21;0
5866;-0.382723;-0.8244;-0.548616;-0.735657;-1.528564;-1.066877;1.885241;0.395427;-2.315698;1.043609;0.179439;-0.064087;0.275801;-0.872234;-0.568354;0.121041;-0.466594;0.877078;0.593644;0.36267;0.763851;-0.903213;0.566983;0.535286;0.288019;-0.180452;-0.115293;-0.485543;101.57;0
5942;-0.06731;-0.227159;0.970054;0.974072;-1.524809;1.204257;0.330769;0.422902;1.077121;0.600965;0.361608;-0.895317;-1.871929;-0.641191;0.240977;0.060515;0.9119;-0.95399;-0.452428;1.350401;-0.238381;-0.26742;-0.684125;0.622738;0.344353;-0.769529;0.57476;-0.028115;11.57;0
6211;-2.559707;-0.85688;-0.455462;0.356244;0.348538;0.398233;-0.473232;0.91969;1.209857;-1.015356;1.515727;-0.536225;-0.51372;-1.957262;1.231514;1.326881;-0.551864;1.63352;-0.645772;0.319163;0.233418;0.546758;-0.679448;0.282584;-0.268689;-0.154719;0.022201;0.05605;110.43;0
6316;2.100246;-3.111617;-0.225046;0.21038;1.804898;-2.554577;1.663309;1.646647;-3.273688;0.393967;-1.222511;0.11863;0.653279;2.056555;0.149552;0.739109;0.154392;-0.904922;-1.694884;0.289404;0.095475;0.298948;-0.198126;0.740816;-0.642058;0.232189;0.666482;-0.163173;14.29;0
6337;2.03142;1.619067;-0.018274;3.630643;-0.113413;0.473458;-0.975576;1.254951;1.352809;0.476874;1.238354;-1.468589;-0.440248;1.064386;-0.36976;0.730921;-0.503232;-0.423941;0.258149;-0.169949;-0.227989;0.256842;0.416336;-1.006509;-0.237607;0.312379;-0.367973;-0.014931;507.43;0
6339;-2.627781;1.292949;-0.87215;2.54037;1.220651;-0.315047;2.117468;0.752481;1.080015;0.000704;-1.435272;-0.587366;-1.779708;-0.615618;0.737474;-0.380594;-0.104662;0.861785;-0.530068;-1.184569;-0.602506;0.570093;1.077357;0.993115;0.606662;-0.600749;0.211224;-0.555533;9.56;0
6374;1.621883;3.169818;-0.093219;-2.743366;0.944589;-0.129327;0.105695;-1.446668;-0.369057;1.06156;-0.470514;-0.250756;-0.881849;0.283446;-1.270462;0.599229;1.729068;1.219708;0.820602;0.12342;0.398482;0.941056;0.044508;-0.517791;1.087985;-0.318184;-0.29558;0.014821;47.43;0
6395;0.717998;3.675264;-3.029303;-0.559642;0.243053;-1.093237;1.236893;1.461748;-1.360997;-0.303196;0.017378;-0.286803;-1.321315;-0.373982;-0.337558;-0.416927;0.418046;0.300283;0.404536;0.041967;-0.900755;-0.893181;-0.428356;0.183488;-0.8439;-1.447785;-0.062451;-0.210687;10.25;0
6454;-2.06285;-2.304515;0.848742;3.515578;0.842088;0.483183;3.793703;1.02438;-0.971535;-0.206074;0.439369;-0.25835;0.446356;0.918114;-0.902505;-0.085692;0.173662;0.278154;0.950252;0.520944;0.667755;0.239937;-0.503744;-0.405951;-0.383753;0.169736;-0.532931;0.029223;928.94;0
6793;-2.4217;-0.850242;3.571175;-0.745918;0.389402;1.41711;0.213314;-0.254392;-0.88437;-0.636345;0.016323;1.355464;0.082596;-0.317606;-0.120552;0.515021;1.194287;1.501811;-0.717562;0.244748;-0.633349;0.694453;0.840744;0.189101;-0.900857;-0.839905;0.549923;-0.039731;5.17;0
6799;0.658312;4.074964;-0.813586;3.034599;-0.146347;-0.833815;-0.130072;0.085389;1.397662;-0.401848;0.198566;0.949069;-1.529002;-0.176984;1.124297;0.085136;-2.225649;-1.149209;0.155662;0.217316;-0.860338;0.552854;-0.792975;0.010901;-0.285157;-0.224614;0.549704;-0.07894;72.71;0
6813;-0.845523;-0.340153;0.584494;-0.535384;0.589691;-2.217667;-1.333117;0.128041;-0.543944;-0.07349;0.061249;-0.626704;-1.602449;-0.625571;0.5732;0.288289;-0.156576;-1.448861;0.143864;0.884384;1.013712;-0.114716;0.110181;0.693878;-0.331713;-0.439849;0.490354;-0.147626;11.0;0
6846;3.4789;0.152485;1.30588;-0.262277;2.046351;-0.383142;-0.159507;-0.471009;0.945855;-0.112859;-1.531162;-1.016823;-0.725862;0.589737;-1.709841;1.165479;-0.449748;-1.616459;-0.411852;-0.191069;0.058582;-0.156314;0.806953;1.503632;-0.621679;0.329729;0.38467;0.090266;19.47;0
6931;1.787567;-2.901555;1.953125;1.296271;0.702394;1.025861;-1.294853;-2.030161;-0.186467;-0.16183;0.606638;-0.399217;4e-05;2.130955;-0.57303;-0.31117;-0.757489;-0.715058;0.986597;0.655724;-1.400061;0.593519;-0.108154;0.537908;0.864765;0.188105;1.098334;0.550195;65.39;0
7038;0.853702;-0.010001;-0.379125;-0.058094;0.3508;-0.53997;-0.241841;-1.278686;0.010583;1.097267;0.847532;1.224889;-0.674993;-0.262889;-1.374149;-0.903088;-1.334638;-0.601516;0.622883;1.002142;-0.019335;0.154098;-0.680262;-0.072924;0.596372;-0.359517;0.084612;-0.044012;207.86;0
7046;0.950004;3.072257;-2.703009;0.772367;-1.160882;-1.97174;3.579408;-1.028744;-1.778535;1.727941;1.389506;-2.096036;0.306217;-0.273901;0.953043;-0.787951;-0.208415;0.31968;1.634899;-0.416272;0.436246;0.787774;0.318115;0.935042;0.126564;0.07558;0.674515;0.178413;378.08;0
7062;2.525191;1.955863;0.42352;2.306427;2.003908;1.035113;0.138301;-2.291718;-1.311777;-1.307219;1.904009;0.092751;0.27295;-0.014135;-0.540045;-0.979539;0.576415;0.846511;0.55267;-0.304243;0.456189;0.079106;0.054454;-1.035199;-0.057328;0.330993;-0.003944;0.516408;3.3;0
7184;1.58071;-1.325273;0.214229;1.147497;-1.891727;1.902413;-0.696573;-1.274787;1.372407;1.702613;0.43905;-0.294973;0.481012;0.259801;0.059062;1.424541;-0.146316;0.763233;1.503797;-0.581437;-0.574859;-0.26896;0.281652;-0.354146;0.464102;0.148803;0.244108;0.132847;49.48;0
7274;0.904545;-0.955627;-0.501956;0.270976;-2.304367;0.046621;-0.27005;1.408027;-0.221295;0.825167;1.459742;1.196385;-1.386801;-0.277018;0.102879;0.585732;0.667061;0.738678;1.485371;-1.035271;-0.471416;-1.269697;0.348745;-0.140831;-0.520785;-1.654024;0.329387;0.248962;295.67;0
7458;-1.981509;-2.226458;-0.181603;2.446408;0.562616;-2.115702;-0.520721;0.628243;0.280725;-0.883456;0.038462;0.981336;-0.294787;-0.366571;0.177328;0.95207;0.041486;-0.804764;-0.408154;1.42976;0.109113;-0.165914;0.311017;-0.169166;0.123955;1.131181;-0.725181;-0.282922;2.64;0
7814;5.900797;-1.742512;0.236957;1.314896;-1.165449;-0.402715;1.290018;-1.105472;1.936993;-0.269573;-1.459427;-1.443457;1.002415;0.089223;-2.642393;0.794329;0.982906;0.32323;-1.200332;2.462523;0.748121;-0.886287;0.17354;-0.45076;-0.314706;0.263492;-0.045082;0.11945;53.07;0
7815;-2.221206;-3.574667;0.566261;-0.971631;1.552957;0.221547;-0.121879;-0.768986;-0.190389;0.399547;1.000308;1.194686;-0.67499;-1.671026;0.318626;-0.164595;-0.452405;-0.616384;1.356135;0.172069;-0.970073;-1.317272;0.409731;0.424548;1.218618;0.550441;-0.088732;0.11619;33.01;0
7829;-0.679458;-0.416738;0.502913;2.881707;-2.273514;-1.056919;1.985021;1.512729;-0.252671;-1.713968;0.774314;-2.300426;-0.811009;-0.515505;-0.509101;1.444301;-1.630497;0.504752;0.551997;-0.244586;-0.928412;-0.623192;0.82642;-0.00132;-0.706246;-0.354033;-0.009997;0.586276;61.67;0
7853;-3.29672;2.342491;-0.308705;0.982159;1.377293;0.795885;-0.401963;1.483316;1.276694;-0.004551;0.020639;0.616154;-0.498795;-1.910953;0.759679;-0.597993;-1.379102;0.035841;0.412233;1.34817;0.990685;0.506241;-0.495726;-0.083327;-0.141554;-0.457597;-0.287153;-0.411642;10.4;0
7904;0.980656;0.344897;0.600261;-0.233421;1.182955;-1.186923;-0.321958;0.133167;-0.036415;0.662845;-0.043527;0.70503;-0.522874;-0.462965;0.174513;1.780887;-0.448071;0.743348;-0.373405;0.472789;0.87888;-0.174133;-0.17471;0.859693;-0.673141;-0.259819;0.066119;0.717276;3.84;0
7949;0.224665;2.093593;-0.410397;-2.799561;0.212862;0.054085;-1.122013;1.448009;0.302008;-0.721365;0.507559;1.678315;0.086614;-0.90033;0.564845;0.118867;-0.776928;1.996055;0.311693;-0.570716;-0.697914;0.128287;0.482128;-0.272313;0.391095;0.980071;0.142759;0.379404;1.88;0
8027;1.422289;1.586721;0.989459;-1.886158;-2.847409;-0.283668;-0.485394;-0.861426;1.046498;-1.523042;-0.324318;0.235071;-0.588261;0.611902;-0.67263;1.584047;-0.527831;-0.027582;0.813815;-0.666231;-0.292871;0.484991;-0.055144;0.626863;0.389914;-0.155761;-0.401851;0.318659;143.25;0
8116;-3.461178;-1.215978;-0.927439;2.484192;-2.328158;0.839087;-2.159627;0.320558;-0.049874;0.306521;0.471102;-0.647787;-1.969017;-0.695806;-1.037316;-0.913211;0.959277;-0.926807;0.523455;0.640534;1.528776;-0.025781;-0.793487;-0.167177;-0.362802;-0.031199;0.015012;-0.379065;173.48;0
8331;2.100166;-1.583947;0.130318;2.540325;0.381111;0.001022;-2.650965;-1.704478;0.816347;2.496993;-0.920639;-0.98828;1.107902;-0.340892;0.800218;-0.369666;-1.310944;-1.370213;-0.507197;0.305012;0.632531;-0.495369;0.196367;-0.153982;-0.645962;0.909598;-0.099323;-0.298611;52.14;0
8886;-1.644499;-1.517649;-2.431845;0.191103;-0.271253;-0.241334;0.764595;-0.383541;-0.177431;-0.687423;-0.806022;1.455626;0.456164;-2.051936;0.502698;-1.400545;1.276997;-0.753319;1.239303;0.87419;-0.046027;-0.321198;-0.314677;-0.463939;-0.200618;-0.176849;0.482194;0.206259;14.86;0
8896;-0.36056;-3.240517;-0.538565;-2.443747;1.053716;-1.047811;-2.174346;0.083411;1.029253;-0.658879;-1.327001;1.69014;0.113119;0.9915;0.192215;0.927178;-0.71297;0.896143;0.091111;0.551901;0.824049;0.556149;1.304618;-0.88774;-0.362904;0.007684;0.231467;-0.686548;2.9;0
